Aar;VdrNr;Vassdrag;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
2002;007.Z;Lysakerelva;5;0;0;3;0;0;0;0;0;0;0;0
2003;007.Z;Lysakerelva;24;11;8;12;3;1;0;0;0;0;0;0
2004;007.Z;Lysakerelva;8;0;0;4;0;0;0;0;0;0;0;0
2005;007.Z;Lysakerelva;4;0;0;2;0;0;0;0;0;0;0;0
2006;007.Z;Lysakerelva;12;6;0;7;1;0;0;0;0;0;0;0
2007;007.Z;Lysakerelva;14;19;0;9;4;0;0;0;0;0;0;0
2008;007.Z;Lysakerelva;26;40;0;11;10;0;0;0;0;0;0;0
2009;007.Z;Lysakerelva;15;21;7;11;5;1;0;0;0;0;0;0
2010;007.Z;Lysakerelva;34;56;0;19;14;0;7;0;0;7;0;0
2011;007.Z;Lysakerelva;21;55;0;11;13;0;0;0;0;0;0;0
2012;007.Z;Lysakerelva;13;32;8;6;8;1;5;0;7;4;0;1
2013;007.Z;Lysakerelva;9;0;0;7;0;0;1;0;0;1;0;0
2014;007.Z;Lysakerelva;5;3;0;3;1;0;3;0;0;3;0;0
2015;007.Z;Lysakerelva;15;24;0;7;6;0;24;13;7;15;3;1
2016;007.Z;Lysakerelva;16;10;0;8;2;0;0;0;0;0;0;0
2017;007.Z;Lysakerelva;176;51;0;95;11;0;67;28;0;39;8;0
2018;007.Z;Lysakerelva;45;38;38;22;8;5;47;181;36;25;39;4
2019;007.Z;Lysakerelva;30;48;19;18;10;2;19;40;10;11;8;1
2020;007.Z;Lysakerelva;36;14;9;21;3;1;21;22;9;14;5;1
2021;007.Z;Lysakerelva;9;5;0;5;1;0;4;0;0;2;0;0
2022;007.Z;Lysakerelva;18;46;24;9;11;3;24;35;0;14;7;0
2023;007.Z;Lysakerelva;31;55;7;19;13;1;21;36;0;13;9;0
2024;007.Z;Lysakerelva;29;22;0;15;5;0;27;65;0;16;13;0
1993;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
1994;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
1995;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
