Vassdrag;VdrNr;Andel_hunn;Fangst;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim
Mårelva (Aursfjorden);196.4Z;0.57;1;;;;;FALSE
Rossfjordvassdraget;196.2Z;0.63;;;;;;TRUE
Laksvatnvassdraget;198.52Z;0.6;1;;0.31;;;FALSE
Nordkjoselva;198.Z;0.6;;;;;;TRUE
Tømmerelvvassdraget (Balsfjord);198.42Z;0.64;1;;0.31;;;FALSE
Kåfjordelva;206.Z;0.6;1;;;;;FALSE
Manndalselva;206.1Z;0.66;;;;;;TRUE
Oksfjordvassdraget;208.4Z;0.6;;;;;;TRUE
Reisavassdraget;208.Z;0.53;;;;;;TRUE
Signaldalselva;204.Z;0.61;1;0.18;;;;FALSE
Skibotnelva;205.Z;0.55;1;0.16;;;;FALSE
Burfjordelva;210.Z;0.58;;;;;;TRUE
Kvænangselva;209.Z;0.59;;;;;;TRUE
Ballesvikvassdraget;195.51Z;0.57;1;;;;;FALSE
Botnelva (Kvæfjord);177.3Z;0.6;1;;;;;FALSE
Breivikvassdraget;203.2Z;0.64;;;;;;TRUE
Bunkanvassdraget;195.1Z;0.6;1;0.74;;;;FALSE
Finnsætervassdraget;195.52Z;0.56;1;;;;;FALSE
Jægervatnvassdraget;203.8Z;0.61;1;1.42;;;;FALSE
Lakselva (Gullesfjord);177.1Z;0.6;1;0.15;;;;FALSE
Langvatnvassdraget;178.9Z;0.57;1;5.11;;;;FALSE
Lysbotnvassdraget;194.3Z;0.6;;;;;;TRUE
Melåa;177.2Z;0.58;1;;;;;FALSE
Nord-Rekvikelva;207.4Z;0.6;1;;;;;FALSE
Oldervikelva (Tromsø);203.1Z;0.61;1;;;;;FALSE
Ringvatnvassdraget;200.3Z;0.58;1;;;;;FALSE
Rotsundelva;206.5Z;0.61;1;0.14;;;;FALSE
Skipsfjordvassdraget;202.11Z;0.58;;;;;;TRUE
Skittenelva;199.3Z;0.6;1;0.4;;;;FALSE
Skogsfjordvassdraget;200.6Z;0.57;;;;;;TRUE
Straumselvvassdraget;197.4Z;0.6;1;0.08;;;;FALSE
Sørbotnelva;198.7Z;0.55;1;;;;;FALSE
Tromvikvassdraget;197.63Z;0.57;1;0.25;;;;FALSE
Tønsvikelva;199.2Z;0.6;1;0.5;;;;FALSE
Vannareidvassdraget;202.3Z;0.59;1;0.15;;;;FALSE
Å-vassdraget (Tranøy);194.81Z;0.62;1;;;46;;FALSE
Repparfjordelva;213.Z;0.51;;;;;;TRUE
Altaelva;212.Z;0.7;;;;;;TRUE
Halselva;212.2Z;0.5;1;;;;;FALSE
Russelva;218.Z;0.5;;;;;;TRUE
Kvalsundelva;213.6Z;0.6;1;;;;;FALSE
Skillefjordelva;213.2Z;0.58;1;;;;;FALSE
Lakselv i Kviby;213.1Z;0.57;1;;;;;FALSE
Mathiselva;212.4Z;0.56;1;0.002;;;;FALSE
Transfarelva;212.7Z;0.58;0;;;;;FALSE
Tverrelva (Alta);212.6Z;0.58;0;;;;;FALSE
Børselv;225.Z;0.6;;;;;;TRUE
Lakselv;224.Z;0.61;;;;;;TRUE
Stabburselv;223.Z;0.71;;;;;;TRUE
Ytre Billefjordelv;222.7Z;0.55;1;;0.45;;;FALSE
Tana;234.Z;0.55;;;;;;TRUE
Langfjordelva;233.Z;0.64;;;;;;TRUE
Karpelva;247.3Z;0.62;;;;;;TRUE
Sandneselva;246.1Z;0.61;;;;;;TRUE
Munkelva;244.4Z;0.59;;;;;;TRUE
Neiden;244.Z;0.53;;;;;;TRUE
Klokkerelva;243.Z;0.57;;;;;;TRUE
Vesterelva;241.5Z;0.59;;;;;;TRUE
Bergebyelva;241.Z;0.48;;;;;;TRUE
Grense Jakobselv;247.Z;0.55;;;;;;TRUE
Vestre Jakobselv;240.Z;0.52;;;;;;TRUE
Skallelv;239.3Z;0.57;;;;;;TRUE
Komagelv;239.Z;0.6;;;;;;TRUE
Sandfjordelva (Båtsfjord);238.Z;0.55;1;;;;;FALSE
Syltefjordelva;237.Z;0.6;;;;;;TRUE
Kongsfjordelva;236.Z;0.45;;;;;;TRUE
Risfjordvassdraget;231.8Z;0.58;;;;;;TRUE
Sandfjordelva (Gamvik);231.7Z;0.63;;;;;;TRUE
Futelva (Gamvik);231.64Z;0.54;1;0.1;;;;FALSE
Storelva (Kunes);228.Z;0.55;;;;;;TRUE
Veidneselva;227.6Z;0.61;;;;;;TRUE
Lille Porsangerelva;227.5Z;0.63;;;;;;TRUE
Tømmervikvassdraget;227.2Z;0.57;1;;;;;FALSE
Hamneelva;220.5Z;0.55;1;;;;;FALSE
Snefjordvassdraget;220.1Z;0.55;1;;;;;FALSE
Sør-Tverrfjordelva;211.32Z;0.59;1;;;;;FALSE
