Vassdrag	Vdrnr	Aar	FangstHunnU3_Justert	FangstHunn37_Justert	FangstHunnO7_Justert	GytingHunnU3	GytingHunn37	GytingHunnO7	AndelHunnU3	AndelHunn37	AndelHunnO7
?roselva	009.Z	1994	11.62259027	20.39700573	4.496041954	5.500686703	21.55626989	10.12795796	0.411505333	0.716840668	0.549613053
?roselva	009.Z	1995	10.24009401	28.4120726	4.03765241	5.048910394	21.11152341	4.93444792	0.39874425	0.69917852	0.548746889
?roselva	009.Z	1996	10.64658234	30.6754458	4.581767412	6.989156734	27.5102555	5.130398163	0.398010356	0.703134646	0.555314166
?roselva	009.Z	1997	11.28388937	24.65522391	4.448540214	5.335280565	17.73334248	2.146841173	0.401545066	0.69089732	0.553986887
?roselva	009.Z	1998	10.90132272	22.29141838	4.258988833	4.743868988	16.19441899	3.703264822	0.402968474	0.699872867	0.546312483
?roselva	009.Z	1999	11.03377693	22.29317016	3.966567936	4.731365879	28.02600495	7.466254473	0.397688139	0.708512617	0.55422204
?roselva	009.Z	2000	11.00628736	22.53318361	4.39297479	5.581418858	25.08815737	4.671415498	0.405823547	0.705622208	0.551049911
?roselva	009.Z	2001	10.62345185	26.13112295	3.945058532	6.362672085	19.34154381	3.646506468	0.409414938	0.69552391	0.547162634
?roselva	009.Z	2002	11.10889519	26.0539452	4.347466387	5.113736563	26.41443964	7.243306105	0.410712526	0.698710398	0.54425696
?roselva	009.Z	2003	11.06328452	22.52989763	4.420738174	4.915485157	25.90704149	4.773649521	0.401635981	0.698777442	0.550060563
?roselva	009.Z	2004	11.21218169	21.28044394	4.502721089	5.034560453	27.6670412	7.77022637	0.406382832	0.700986267	0.555016238
?roselva	009.Z	2005	11.40412519	25.67418027	5.196157567	4.751928144	32.48139145	6.056741019	0.404814884	0.698662182	0.546963954
?roselva	009.Z	2006	11.5347258	30.0834185	4.349502686	4.989505845	31.81230936	5.909829282	0.406564825	0.694197337	0.557094735
?roselva	009.Z	2007	9.59217052	22.19633125	4.686011203	3.90359684	20.33042006	5.742056541	0.399779913	0.705191727	0.553504467
?roselva	009.Z	2008	11.25387667	21.66837345	4.470468972	4.492689716	15.46596096	4.050596223	0.401008735	0.703262071	0.545299193
?roselva	009.Z	2009	11.89819165	25.8028994	4.685722301	4.050071385	33.31484211	4.89169418	0.408039334	0.700241344	0.55266415
?roselva	009.Z	2010	10.18398981	28.02969685	3.878146063	5.141503225	37.81631938	3.041743643	0.400752868	0.697525628	0.554020866
?roselva	009.Z	2011	11.22620537	19.93628995	0.578515553	4.805091753	29.38390596	1.847899297	0.399235554	0.703124558	0.555273733
?roselva	009.Z	2012	11.75072859	22.24689412	0.555141765	3.619751657	26.31191176	1.154877342	0.394618936	0.698807318	0.547418769
?roselva	009.Z	2013	10.95192698	26.07993577	4.562707411	4.064886985	31.74201863	6.367211657	0.394218759	0.695817871	0.558771865
?roselva	009.Z	2014	11.12423124	26.61745462	5.378663005	4.846041551	21.51238085	7.400958615	0.403885623	0.696431339	0.550897974
?roselva	009.Z	2015	11.36105591	23.94388102	4.421713839	4.112743927	37.26433829	3.320449153	0.396221988	0.706562395	0.549082724
?roselva	009.Z	2016	11.6036113	26.39580529	4.706989638	4.788380364	26.75512249	3.717529209	0.396868823	0.701855711	0.551604033
?roselva	009.Z	2017	10.99597495	21.12070754	4.559605492	4.366047754	18.87407546	8.939546237	0.40156284	0.700136781	0.551723396
?roselva	009.Z	2018	11.85577646	23.52025632	4.595274915	4.689993551	24.90588371	5.818156181	0.406019089	0.711562963	0.555048676
?roselva	009.Z	2019	11.10257371	29.28778728	0.532418452	6.127621368	28.65074229	1.695521942	0.403844446	0.701438841	0.543069586
Audna	023.Z	1993	337.7474369	373.9833737	24.88950128	206.8938196	499.8495175	20.6972907	0.402660244	0.701653306	0.542429365
Audna	023.Z	1994	364.980683	382.1817642	26.1332478	229.9582211	412.0839306	22.18601362	0.400011294	0.705445912	0.54888699
Audna	023.Z	1995	366.4179001	360.5077174	24.55644257	221.1592119	299.1289585	25.05435216	0.400251703	0.703821013	0.550414868
Audna	023.Z	1996	390.3583268	375.1728225	25.42766871	226.237278	330.8975673	28.2615133	0.408338223	0.698002941	0.550761739
Audna	023.Z	1997	352.7288731	376.3560635	23.97548648	237.0831775	304.2290593	21.89332581	0.398324264	0.700204342	0.545442173
Audna	023.Z	1998	353.4873716	383.9367032	26.19585563	252.5658901	313.0837715	21.47935089	0.398373094	0.703960052	0.550377151
Audna	023.Z	1999	358.7609867	376.4295628	25.74236639	230.516483	545.8098047	24.58498026	0.406509307	0.699380036	0.558216148
Audna	023.Z	2000	355.391612	365.0500334	26.29199624	228.2907237	319.7511057	21.56815229	0.401170514	0.705290413	0.545665924
Audna	023.Z	2001	356.6915103	375.9429353	25.2261147	238.9190296	463.121871	19.99499897	0.397822047	0.702278069	0.550382524
Audna	023.Z	2002	360.4248879	371.9697323	25.68614991	219.9525739	265.4113482	29.44779837	0.38868201	0.699650226	0.544580932
Audna	023.Z	2003	380.9564873	374.0657728	24.50150762	222.9584228	417.2126826	20.70606005	0.39690797	0.696826217	0.544839346
Audna	023.Z	2004	349.1366928	374.582732	25.70473913	245.1823099	304.1153922	27.8063215	0.396601725	0.690541946	0.544339188
Audna	023.Z	2005	389.1525426	367.647665	26.40884033	227.3334009	435.1307732	27.58599504	0.404852758	0.69561207	0.553579159
Audna	023.Z	2006	366.1911284	385.9697764	25.39368316	231.690321	315.701861	21.36292605	0.402951006	0.697585371	0.552935652
Audna	023.Z	2007	357.4155408	388.4984787	23.80049261	254.4443138	409.8500264	20.1982103	0.393787311	0.70290433	0.546630644
Audna	023.Z	2008	362.602298	379.3247309	21.16973785	243.171126	373.272592	29.86005266	0.414554849	0.707275938	0.552968068
Audna	023.Z	2009	340.4668598	384.3480037	24.73692175	256.1396185	339.9907224	22.72019278	0.404940897	0.703357342	0.539431185
Audna	023.Z	2010	361.3684654	375.7377634	25.73933851	209.3251682	336.4582193	23.75021331	0.397547374	0.698340348	0.547203134
Audna	023.Z	2011	384.3914063	359.2293099	25.98799501	252.1247215	460.5848586	20.13233302	0.399683065	0.709124256	0.553074439
Audna	023.Z	2012	361.921365	378.4513009	24.06392696	240.6197145	320.592035	29.43512382	0.402052705	0.699004548	0.550220341
Audna	023.Z	2013	352.4706558	370.3008806	24.8496939	192.5206721	368.4659116	24.43551118	0.405871136	0.695557147	0.551136867
Audna	023.Z	2014	393.4098882	394.1419452	25.8002181	201.7382291	261.515201	23.55513255	0.397957356	0.70983708	0.541999626
Audna	023.Z	2015	345.2581959	352.6650566	25.97004717	245.5091257	390.9581987	18.01139183	0.400646659	0.705030176	0.549735878
Audna	023.Z	2016	358.7019924	367.9180466	25.14253387	170.9668384	335.8577891	28.69711902	0.404607816	0.698222594	0.54787543
Audna	023.Z	2017	336.4748862	357.8559996	24.00863869	181.9104937	440.3222973	34.8179577	0.395128146	0.700291212	0.543340928
Audna	023.Z	2018	360.1153458	380.7052442	25.26018767	233.7290666	380.8322564	23.92482615	0.406928737	0.687551301	0.553281643
Audna	023.Z	2019	348.2412093	366.0676521	25.98518188	223.4442015	394.5199291	24.21955033	0.401516285	0.69810846	0.548881605
Kvina	025.Z	1993	119.8872829	272.3123797	79.1773791	136.8752825	545.2195024	242.4759906	0.407354591	0.700287333	0.545592402
Kvina	025.Z	1994	111.2951033	289.400652	66.08571461	140.3161399	604.4677631	207.0815269	0.396144984	0.699285131	0.543520878
Kvina	025.Z	1995	113.2631673	267.457168	70.19838983	136.1898459	600.2414235	217.6967371	0.398147389	0.700836648	0.556746813
Kvina	025.Z	1996	105.3344948	270.1587038	78.46295194	118.5901019	507.6659979	216.7534314	0.385635043	0.703328036	0.553295383
Kvina	025.Z	1997	104.8063235	255.5973448	76.16863232	121.0576218	432.5394987	243.5932914	0.404538063	0.695565116	0.550482561
Kvina	025.Z	1998	108.9030507	279.5383271	79.21106437	126.0637241	485.3949342	244.283664	0.404978614	0.694909275	0.549916227
Kvina	025.Z	1999	107.9608531	261.1929773	79.57206348	138.5414972	409.6243342	190.6675643	0.398680066	0.688953044	0.541571321
